Commodity,Current_Price,Weekly_Avg,Price_Change_%,Volatility,Recommendation,Reason
Grapes,9616.666666666666,5714.285714285715,68.29166666666664,0.8081178839474157,STRONG SELL,Price peaked 68.3% above average
ChowChow,2000.0,1300.0,53.84615384615385,0.4570549242424242,STRONG SELL,Price peaked 53.8% above average
Cowpea,5554.0,4339.142857142857,27.99762955159018,0.005180407175972586,SELL,"Price 28.0% above weekly average, good selling opportunity"
Arati-Green Plantain,3000.0,2428.5714285714284,23.529411764705888,0.3521247152878638,STRONG SELL,Price peaked 23.5% above average
Gingelly,8692.0,7188.0,20.92376182526433,0.048719210205848094,SELL,"Price 20.9% above weekly average, good selling opportunity"
Green Peas,9000.0,7500.0,20.0,0.6361678004535147,STRONG SELL,Price peaked 20.0% above average
Drumstick,2400.0,2028.5714285714287,18.309859154929573,0.4955026752270904,STRONG SELL,Price peaked 18.3% above average
Radish,775.0,662.8571428571429,16.918103448275858,0.427015188160699,STRONG SELL,Price peaked 16.9% above average
Ladys Finger,2818.75,2428.5714285714284,16.066176470588243,0.41810657861044387,STRONG SELL,Price peaked 16.1% above average
Tamarind,8000.0,7000.0,14.285714285714285,0.10446859903381646,SELL,"Price 14.3% above weekly average, good selling opportunity"
Water Melon,800.0,728.5714285714286,9.803921568627453,1.5733333333333335,HOLD,"Price stable, wait for better opportunity"
Sapota,1400.0,1300.0,7.6923076923076925,0.28831789125906776,SELL,"Price 7.7% above weekly average, good selling opportunity"
Cotton,7486.666666666667,6971.428571428572,7.390710382513664,0.21723185511861465,SELL,"Price 7.4% above weekly average, good selling opportunity"
Orange,5000.0,4857.142857142857,2.941176470588241,1.0563492063492061,HOLD,"Price stable, wait for better opportunity"
Paddy,2215.4,2159.5714285714284,2.5851690150162177,0.10296134337171874,HOLD,"Price stable, wait for better opportunity"
Sweet Potato,1900.0,1857.142857142857,2.3076923076923097,0.6018929061482253,HOLD,"Price stable, wait for better opportunity"
Red Gram,4964.5,4861.714285714285,2.114186647860845,0.1315195973335701,HOLD,"Price stable, wait for better opportunity"
Mosambi,2200.0,2157.1428571428573,1.9867549668874078,0.7639960644013141,HOLD,"Price stable, wait for better opportunity"
Cluster Beans,3128.5714285714284,3071.4285714285716,1.860465116279061,0.33601715792995845,HOLD,"Price stable, wait for better opportunity"
Amla,7000.0,6928.571428571428,1.0309278350515483,0.6160782703886152,HOLD,"Price stable, wait for better opportunity"
Plum(Aloobukara),5000.0,5000.0,0.0,1.640229885057471,HOLD,"Price stable, wait for better opportunity"
Tumeric,10456.125,10471.57142857143,-0.14750821953316523,0.35540917204649475,HOLD,"Price stable, wait for better opportunity"
Jowar,2251.0,2258.1428571428573,-0.3163155563990723,0.0939618762113611,HOLD,"Price stable, wait for better opportunity"
Green Gram,6328.75,6472.714285714285,-2.2241717980975024,0.14208999556715615,BUY,Price 2.2% below weekly average
Green Mangos,2500.0,2557.1428571428573,-2.2346368715083873,0.6766842783917881,BUY,Price 2.2% below weekly average
Ginger,3200.0,3278.5714285714284,-2.39651416122004,0.7820663725280966,BUY,Price 2.4% below weekly average
Onions,1400.0,1454.2857142857142,-3.732809430255399,0.9312533169916037,BUY,Price 3.7% below weekly average
Tomato,2339.7272727272725,2471.4285714285716,-5.328954282711521,0.5502452899450776,BUY,Price 5.3% below weekly average
Bitter Gourd,2620.0,2785.714285714286,-5.948717948717951,0.39260365823390553,BUY,Price 5.9% below weekly average
Cucumber,1410.0,1542.857142857143,-8.611111111111112,0.44604811897590796,BUY,Price 8.6% below weekly average
Maize,2168.0,2375.8571428571427,-8.74872226564848,0.07373362994809245,STRONG BUY,"Price dropped 8.7% below weekly average, low volatility"
Bottle Gourd,608.3333333333334,685.7142857142857,-11.28472222222221,0.4598166879416879,BUY,Price 11.3% below weekly average
Apple,11650.0,13285.714285714286,-12.31182795698925,1.515997658036744,BUY,Price 12.3% below weekly average
Donda,2478.5714285714284,2871.4285714285716,-13.681592039801002,0.40271390183974615,BUY,Price 13.7% below weekly average
Green Onion,1833.3333333333333,2157.1428571428573,-15.011037527593828,0.35658885752169334,BUY,Price 15.0% below weekly average
Garlic,4000.0,4714.285714285715,-15.151515151515158,0.7908333333333333,BUY,Price 15.2% below weekly average
Green Chillies,4325.0,5178.571428571428,-16.48275862068965,0.37905976299396954,BUY,Price 16.5% below weekly average
Black Gram,4824.0,5822.428571428572,-17.147974581053564,0.0440759833116124,STRONG BUY,"Price dropped 17.1% below weekly average, low volatility"
Potato,2030.0,2492.8571428571427,-18.567335243553,0.2677361489818906,BUY,Price 18.6% below weekly average
Brinjal,1677.7777777777778,2071.4285714285716,-19.00383141762452,0.5067989435072198,BUY,Price 19.0% below weekly average
ColaCasio(Arvi),2790.0,3478.5714285714284,-19.79466119096509,0.3380707796733104,BUY,Price 19.8% below weekly average
Snake Gourd,1075.0,1342.857142857143,-19.9468085106383,0.470345094335031,BUY,Price 19.9% below weekly average
Carrot,2971.4285714285716,3750.0,-20.76190476190476,0.39622372145205814,BUY,Price 20.8% below weekly average
Ribbed Gourd,3125.0,3964.285714285714,-21.171171171171167,0.37387625412099573,BUY,Price 21.2% below weekly average
